Date,Price,Volume
2021-01-28,16.94,2960951224.55
2021-01-29,16.84,3657663582.56
2021-01-30,16.51,1998709419.61
2021-01-31,16.12,2540474629.04
2021-02-01,16.38,2228986207.72
2021-02-02,17.26,2658383685.86
2021-02-03,20.73,4685307861.70
2021-02-04,19.70,4858842246.09
2021-02-05,20.90,3387079061.07
2021-02-06,20.40,2622835075.63
2021-02-07,19.79,3038407999.38
2021-02-08,23.03,4736654530.67
2021-02-09,23.13,3446396914.48
2021-02-10,23.59,4203061885.09
2021-02-11,25.23,4060334812.05
2021-02-12,28.69,4562466560.12
2021-02-13,28.02,4947621076.43
2021-02-14,27.10,3550653217.48
2021-02-15,27.78,5407907535.43
2021-02-16,30.16,5274752208.18
2021-02-17,31.99,4292546900.12
2021-02-18,31.18,1992921510.93
2021-02-19,34.79,3466759116.14
2021-02-20,39.24,6056666197.80
2021-02-21,39.70,3721239426.56
2021-02-22,37.69,5770512363.01
2021-02-23,34.30,7502138161.95
2021-02-24,33.63,4724242061.86
2021-02-25,31.08,3470266685.26
2021-02-26,31.35,5147313877.80
2021-02-27,33.45,4507278635.87
2021-02-28,33.61,4567616883.15
2021-03-01,35.58,3311498739.40
2021-03-02,36.15,3752858101.24
2021-03-03,37.04,2683665083.79
2021-03-04,35.33,2868268909.18
2021-03-05,33.72,3035955286.42
2021-03-06,33.43,1637892895.95
2021-03-07,35.19,1607577505.58
2021-03-08,34.91,1855547495.04
2021-03-09,38.19,3020766952.00
2021-03-10,37.57,3143656899.47
2021-03-11,36.88,2563507906.06
2021-03-12,35.99,2198904040.29
2021-03-13,37.16,2115307643.49
2021-03-14,36.58,1640191647.25
2021-03-15,34.36,2905566504.07
2021-03-17,36.14,2111418087.32
2021-03-18,35.52,1639504239.58
2021-03-19,38.27,2491198971.33
2021-03-20,37.35,2133559564.74
2021-03-21,36.79,1930244844.86
2021-03-22,35.54,1929884756.43
2021-03-23,34.46,1728982594.54
2021-03-24,30.44,2729222673.09
2021-03-25,29.98,3433822539.93
2021-03-26,33.20,1735749438.55
2021-03-27,32.66,1518535915.94
2021-03-28,32.30,1138942373.37
2021-03-29,34.37,1639815517.44
2021-03-30,34.07,1281200870.73
2021-03-31,37.03,3527967413.44
2021-04-01,37.67,2811720573.94
2021-04-02,41.16,2824216498.29
2021-04-03,41.65,5242091095.66
2021-04-04,44.65,3120632808.86
2021-04-05,45.80,2937995181.74
2021-04-06,43.43,3105511688.65
2021-04-07,39.59,3804483298.25
2021-04-08,41.37,1864637395.20
2021-04-09,40.85,1318352700.07
2021-04-10,41.63,1647212348.28
2021-04-11,41.42,1534168401.58
2021-04-12,40.50,1787924966.45
2021-04-13,42.95,2556927711.11
2021-04-14,42.64,2954854987.58
2021-04-15,43.52,2266870610.58
2021-04-16,41.54,2697585008.80
2021-04-17,42.54,4593280503.28
2021-04-18,37.35,5942657693.87
2021-04-19,34.82,2813475560.27
2021-04-20,35.44,3357861319.06
2021-04-21,33.87,2811533458.91
2021-04-22,32.99,3470349242.17
2021-04-23,32.23,4380184941.96
2021-04-24,28.93,2000992623.76
2021-04-25,29.76,1620694353.05
2021-04-26,33.41,2200104405.44
2021-04-27,34.70,1844667809.07
2021-04-28,33.97,1856657052.61
2021-04-29,35.97,1827249048.93
2021-04-30,36.54,2210863081.52
2021-05-01,36.93,1596159167.57
2021-05-02,36.65,1423486755.47
2021-05-03,37.26,1857108731.68
2021-05-04,34.85,2627951840.39
2021-05-05,40.50,3300471923.06
2021-05-06,41.53,4088642953.07
2021-05-07,39.93,3016255238.77
2021-05-08,39.83,1754219538.61
2021-05-09,40.31,2294525691.73
2021-05-10,36.54,3187436825.75
2021-05-11,38.64,2263017017.98
2021-05-12,34.03,3698746094.70
2021-05-13,40.03,7032709584.31
2021-05-14,47.95,5633438539.76
2021-05-15,43.54,6487556686.01
2021-05-16,42.63,4268621267.36
2021-05-17,38.71,4779518016.29
2021-05-18,40.65,3914013746.41
2021-05-19,25.23,10069997171.50
2021-05-20,29.15,6694931133.46
2021-05-21,24.46,6442011512.67
2021-05-22,22.01,4379003452.25
2021-05-23,18.03,6002858935.74
2021-05-24,23.20,4412004564.23
2021-05-25,22.13,3303527397.13
2021-05-26,24.55,3100578185.86
2021-05-27,23.85,2755550526.77
2021-05-28,21.41,4521086730.08
2021-05-29,19.86,2392272346.78
2021-05-30,20.47,1947583707.86
2021-05-31,23.43,2651300356.39
2021-06-01,22.81,2230220977.87
2021-06-02,25.96,2962777621.17
2021-06-03,27.01,2803059245.63
2021-06-04,25.01,2801117143.06
2021-06-05,23.82,2102969700.83
2021-06-06,24.20,1187622849.35
2021-06-07,21.63,1861117891.94
2021-06-08,21.75,2653898124.21
2021-06-09,23.18,2220005780.88
2021-06-10,22.68,2114395058.40
2021-06-11,20.99,1517304437.77
2021-06-12,20.78,1455506947.73
2021-06-13,22.08,1233102638.19
2021-06-15,24.76,3151346882.91
2021-06-16,22.97,1694813678.72
2021-06-17,22.51,1236017502.38
2021-06-18,21.40,1406342363.70
2021-06-19,20.36,997553727.18
2021-06-20,20.67,1309501355.61
2021-06-21,15.77,2426849565.46
2021-06-22,14.65,3026165113.27
2021-06-23,16.14,2060945482.00
2021-06-24,16.25,1163182953.66
2021-06-25,14.47,1273917013.49
2021-06-26,14.50,1135392299.88
2021-06-27,15.02,982313260.63
2021-06-28,15.74,1109200887.02
2021-06-29,16.25,1342798978.41
2021-06-30,16.40,1208316036.10
2021-07-01,15.28,883647160.55
2021-07-02,15.34,753194772.64
2021-07-03,15.55,711235057.16
2021-07-04,16.01,752075892.77
2021-07-05,15.24,844844585.75
2021-07-06,16.14,1001573398.32
2021-07-07,16.86,1424247755.66
2021-07-08,15.34,1116757294.78
2021-07-09,15.67,822381785.63
2021-07-10,15.29,664082423.63
2021-07-11,15.48,543030841.60
2021-07-12,14.87,668145498.91
2021-07-13,14.19,607013676.12
2021-07-14,13.80,859077647.99
2021-07-15,13.08,766661232.99
2021-07-16,12.05,810693172.93
2021-07-17,12.29,851659385.89
2021-07-18,12.68,675122783.32
2021-07-19,11.43,870751781.41
2021-07-20,10.98,940409268.35
2021-07-21,12.31,1230601624.17
2021-07-22,13.16,1044329359.60
2021-07-23,13.40,955080499.48
2021-07-24,13.81,886579431.85
2021-07-25,13.71,777347323.72
2021-07-26,13.95,1793449168.22
2021-07-27,14.38,1125369355.22
2021-07-28,14.54,1108934436.85
2021-07-29,15.24,1062263753.25
2021-07-30,15.84,1137541991.17
2021-07-31,16.85,1264877871.73
2021-08-01,18.41,2765314957.53
2021-08-02,18.02,1663229215.97
2021-08-03,17.34,1323763206.63
2021-08-04,19.16,1596864082.17
2021-08-05,19.13,1640748887.18
2021-08-06,20.40,1714827720.81
2021-08-07,20.97,1715197694.55
2021-08-08,19.68,1319824174.43
2021-08-09,20.62,1388957425.27
2021-08-10,20.61,1436590205.17
2021-08-11,21.40,1858448703.26
2021-08-12,20.75,1646177585.18
2021-08-13,22.71,1463855800.20
2021-08-14,22.86,1618443546.19
2021-08-15,23.17,1302613173.25
2021-08-16,24.54,2668518583.79
2021-08-17,23.53,3257290650.86
2021-08-18,23.95,2397153467.77
2021-08-19,26.55,2276827143.29
2021-08-20,28.15,2387493287.19
2021-08-21,27.87,2047070057.14
2021-08-22,27.74,1752533687.84
2021-08-23,27.89,1729002172.90
2021-08-24,25.08,2018934381.52
2021-08-25,25.94,1846569890.47
2021-08-26,23.98,1685733118.18
2021-08-27,26.57,1736385098.62
2021-08-28,25.97,1084058904.07
2021-08-29,25.73,1004630100.04
2021-08-30,26.04,1847373257.58
2021-08-31,31.47,5433775562.05
2021-09-01,33.14,3610653474.91
2021-09-02,31.81,2159617234.97
2021-09-03,33.67,2402724194.23
2021-09-04,32.42,1508568850.97
2021-09-05,34.41,1731805766.74
2021-09-06,34.31,2185610405.71
2021-09-07,27.83,5554694140.99
2021-09-08,27.71,3210808968.01
2021-09-09,29.84,3007862033.78
2021-09-10,29.22,3735477033.45
2021-09-11,31.59,2273035757.41
2021-09-12,35.77,4160379168.98
2021-09-13,34.77,7156687507.55
2021-09-14,37.38,3761631381.08
2021-09-15,36.46,2154595131.44
2021-09-16,35.55,2430072000.15
2021-09-17,33.02,2365641230.56
2021-09-18,34.90,1805117461.35
2021-09-19,33.80,1453929288.80
2021-09-20,28.05,3954630278.05
2021-09-21,26.32,3325097630.65
2021-09-22,31.61,2905928191.27
2021-09-23,33.54,2239422859.84
2021-09-24,30.84,3844864516.91
2021-09-25,29.84,2036495248.59
2021-09-26,28.83,2609528913.26
2021-09-27,27.77,1672382041.08
2021-09-28,26.33,1505382458.92
2021-09-29,27.27,1537170122.54
2021-09-30,28.58,1239805621.19
2021-10-01,31.97,1998408914.54
2021-10-02,32.12,1447666890.27
2021-10-03,32.11,1294791998.37
2021-10-04,31.04,1294606337.25
2021-10-05,31.43,1258661014.89
2021-10-06,32.29,1979276160.83
2021-10-07,33.97,2724383950.15
2021-10-08,33.37,1540992723.58
2021-10-09,36.33,1925845632.93
2021-10-10,34.47,1892396216.16
2021-10-11,34.18,1633598820.82
2021-10-12,35.16,1907396455.66
2021-10-13,41.62,4978924112.80
2021-10-14,40.76,3094236877.74
2021-10-15,43.16,3509884038.57
2021-10-16,41.76,2149299434.95
2021-10-17,42.07,1794118103.54
2021-10-18,41.18,1770037056.38
2021-10-19,41.38,1476241194.97
2021-10-20,44.35,2160124585.28
2021-10-21,42.85,2416148967.74
2021-10-22,43.45,2535826498.95
2021-10-23,44.05,1228699646.91
2021-10-24,42.39,1286707564.33
2021-10-25,44.53,1360980395.30
2021-10-26,44.88,1763935730.02
2021-10-27,40.41,2833846259.07
2021-10-28,41.86,1946242940.42
2021-10-29,44.07,1613356430.15
2021-10-30,42.75,1002560667.16
2021-10-31,42.74,1250223352.75
2021-11-01,49.98,4338984539.27
2021-11-02,51.63,3755226109.40
2021-11-03,53.44,3292529594.65
2021-11-04,53.88,2735203164.37
2021-11-05,51.89,1836789839.76
2021-11-06,52.01,1731999302.93
2021-11-07,52.28,1469149810.73
2021-11-08,53.35,1731022445.45
2021-11-09,50.78,1889383247.77
2021-11-10,46.87,3209700776.80
2021-11-11,47.65,1903460945.48
2021-11-12,45.88,2018292418.98
2021-11-13,47.13,1193417084.01
2021-11-14,46.40,943480234.20
2021-11-15,44.69,1217037805.60
2021-11-16,40.90,2989773813.47
2021-11-17,42.71,1952021421.24
2021-11-18,39.05,2184185008.63
2021-11-19,41.26,1585574130.38
2021-11-20,42.06,1072593578.52
2021-11-21,42.01,1200251789.21
2021-11-22,39.45,1419043417.18
2021-11-23,40.79,1191444255.11
2021-11-24,39.37,1151780974.66
2021-11-25,38.46,1204042085.73
2021-11-26,34.39,2209378812.40
2021-11-27,35.19,1023830345.82
2021-11-28,35.77,1521352540.87
2021-11-29,37.16,1277403223.41
2021-11-30,37.96,1552695148.28
2021-12-01,36.77,1247647114.99
2021-12-02,35.76,1000369701.82
2021-12-03,33.64,1330467953.86
2021-12-04,29.37,2854207527.51
2021-12-05,28.31,1471059303.13
2021-12-06,28.25,1994330965.63
2021-12-07,30.54,1776628055.28
2021-12-08,29.87,1356418901.67
2021-12-09,26.95,1193183661.02
2021-12-10,26.45,1357627513.79
2021-12-12,29.61,897053030.75
2021-12-13,25.97,1292550086.49
2021-12-14,26.17,1206987078.62
2021-12-15,27.15,1580299614.92
2021-12-16,26.04,1485488982.70
2021-12-17,24.66,1134265516.15
2021-12-18,25.49,878905203.16
2021-12-19,24.79,744698641.84
2021-12-20,24.05,924598147.32
2021-12-21,25.19,893276893.70
2021-12-22,27.22,1332894453.17
2021-12-23,29.11,1466897163.69
2021-12-24,28.14,1068526284.84
2021-12-25,28.84,721290102.62
2021-12-26,31.33,1627652480.29
2021-12-27,30.91,1724296389.51
2021-12-28,27.91,2373946823.06
2021-12-29,26.74,1772776120.31
2021-12-30,27.57,1238329220.69
2021-12-31,26.72,1169307108.00
2022-01-01,28.58,769282646.22
2022-01-02,29.73,1217867246.33
2022-01-03,30.11,1652854633.81
2022-01-04,28.78,1433783810.65
2022-01-05,26.80,1721841152.77
2022-01-06,26.76,1444988535.80
2022-01-07,24.93,2764194354.75
2022-01-08,24.03,1546276235.45
2022-01-09,24.63,1328484246.81
2022-01-10,23.78,1693703472.56
2022-01-11,25.54,1556234288.44
2022-01-12,27.32,1416836454.89
2022-01-13,25.83,1392401458.11
2022-01-14,27.71,1801182211.59
2022-01-15,27.74,1158992449.53
2022-01-16,27.67,1280576658.81
2022-01-17,25.73,1453899012.52
2022-01-18,25.17,1349151568.30
2022-01-19,24.13,1171940720.30
2022-01-20,22.98,897265225.83
2022-01-21,19.65,2158447178.61
2022-01-22,18.23,2593516896.86
2022-01-23,18.83,1570770652.68
2022-01-24,18.04,2261885505.85
2022-01-25,18.35,1511107520.19
2022-01-26,18.08,1763129259.72
2022-01-27,18.13,1134516099.03
2022-01-28,18.34,994677639.81
2022-01-29,18.71,766547374.59
2022-01-30,18.17,757967482.24
2022-01-31,19.42,1115684277.73
2022-02-01,19.61,1068758717.50
2022-02-02,18.80,1153269230.53
2022-02-03,18.81,906875218.62
2022-02-04,20.42,1110480504.08
2022-02-05,21.37,1265231133.72
2022-02-06,21.90,830919540.24
2022-02-07,22.36,1356167813.17
2022-02-08,21.69,1444549625.16
2022-02-09,21.93,952902519.48
2022-02-10,20.64,1497572222.43
