blockNumber	transactionHash	status	gasUsed	cumulativeGasUsed	effectiveGasPrice
8980068	0xe8479d9c1f83815fe628c2d03d4667b990c9c17a20254f7d724bb3fdbf54866d	1	99929	349648	58500000000
8980069	0xa919929b363487a4d22fa8cb357486060b2580b20411433dcc4edd1c43c1a68e	1	99921	174322	58500000000
8980069	0xaf56d80f14817af39d3c5c0d27505f19c345d63eb1602ec7e4a230da914e0052	1	99793	274115	58500000000
8980073	0x1517ec993a93c93c1338d8bf400be699eb6b70290ad29667a749183e9b6ce9d2	1	84793	7005338	25000000000
8980073	0xb7d368e9b74af7d6cf4a0d490c809f803a0b0712f6e467962b589cd343aa5581	1	84921	6920545	25000000000
8980331	0x129bdc978f52d2fc31959a31ed91fc61b79918463f6c033036144a7e39d52430	1	99737	1651051	45000000000
8980331	0x2dd2d6a3d1508560b50e3c5e6aa7122f892ef905d2b915e9f00e7839135a060d	1	99673	2049679	45000000000
8980331	0x3824b9d0cb46a7eafbac3394761cbba8f07943d7fddb1c5858e3264a3b836deb	1	99673	853475	45000000000
8980331	0x3a2c4c2a2b52db3147180ce67f21f21fb412b69c5418afcc16e096c6402b011a	1	99801	1551314	45000000000
8980331	0x6719b81ca824b2f1389c9741e8dc44ca0a66a2c0a386b14a2fdf13c8be82ac6f	1	99673	1451513	45000000000
8980331	0x75854b2b5964a0cd7eae58aee2f8bca44700a0d3e6439f7914897b4a05ffaa41	1	99673	2149352	45000000000
8980331	0x77fe53314595c0e2a9c2635339a2ff7d6abd2918c2b95b88d9aa41c2aad11919	1	99673	2249025	45000000000
8980331	0x7ade87bec5e5ca74c9ef52968ca25e9ca043410c83338fb5bc3911c3099ec64a	1	99609	1850333	45000000000
8980331	0x92876995838c388f76ad2e52f7b5c3e558857b005564c8bfeab6ee1518ececaa	1	99673	953148	45000000000
8980331	0xa793dccaa986a4fbec7eb9d4ddaafc8a9111cd4abc087aa080a1466e9b383cf2	1	99673	1351840	45000000000
8980331	0xb0e5ccbb7f0e90d56a80ebda5fd367109f31cf901d958d3f7bb6681a5a8cc275	1	99673	1152494	45000000000
8980331	0xc0fe05da145f0b2c61de55c5de80db1b856e120d9da9b165ff80976bc29ba5d4	1	99673	1750724	45000000000
8980331	0xca630390d410354f3512e3baac063a854985a05e94b5c3ca79e7362fde3d698b	1	99673	1252167	45000000000
8980331	0xcd75d3fe0d31a1fa92875c9986eab05d0db50dff148efae5f924b25eb8924263	1	99673	753802	45000000000
8980331	0xf1d9640ea07a21277c7065697482c8ff12eec34ce9ee0151e102c3146a2148da	1	99673	1052821	45000000000
8980331	0xf8598aac88b3dbdebcd0139d6e0345d8de669a55cfb2f9427df832bf71393a28	1	99673	1950006	45000000000
8980333	0x0206b5f72f899d27d9c7d3a13524df51124dd78a47d928ed99612c8e7b0cfa4d	1	99793	199594	48000000000
8980333	0x08d0533b2931e06806ce9a25b8843cb13ba00cc447158ad67951a5a6f2827478	1	99729	399116	45000000000
8980333	0x0a42d968ff0cd4daa117bd0d95ac574ccb7f4f657dd223cef47176886498c433	1	99793	997810	45000000000
8980333	0x14189f7a1a92c6d43a35bc53f5acf1462f1f7635c9628d7688b1e683bb5395ab	1	99793	299387	45000000000
8980333	0x40b482cd713173f8a92ce646634417e8534d415a4bc56c38bb14b95b078a760e	1	99793	1197396	45000000000
8980333	0x4d99ea168180ef0b08478d05e0817b495dc653c884b7362b6534e23b98a26f89	1	99793	898017	45000000000
8980333	0x836aac24ab4895cb60d531b4e7b7cb634937d7a9214c42f4c601de92918edf6b	1	99793	1097603	45000000000
8980333	0x9bec1f9af54e3bf88278c263ea09d6f7d802ee474e4dbc5fcb4e80cf72c01c25	1	99793	1596568	45000000000
8980333	0xc05ef35e56da8f5e0f6c4b6312256b84a4503188b15ccde6842084035111916d	1	99729	598638	48000000000
8980333	0xcd90defa4fae38ce80a8795626b618e4ca6a6576905257062e0570542245c07a	1	99793	1396982	45000000000
8980333	0xd12bcd38e4c285d3f7152655d4642e8f454708a41cb61cdbd2866c10902e8128	1	99793	498909	48000000000
8980333	0xd460340519d5b7d2a4bdfe0fab4a670ddd7f35632b62bdd6be54ec68b53ef5ce	1	99793	698431	45000000000
8980333	0xe8695fba419befcede1a61b761fefd61369df5047e33644c1d231d86d37cb5a5	1	99793	1496775	45000000000
8980333	0xea11d2dfcf22065ea1893ff00e2e69ca7816aaf5fd0827c855bcbd80700ba43d	1	99793	798224	45000000000
8980333	0xeb986716d49ce8c40f2c532cb3e6df3dfb12e5a153040e659f514ff122a5804f	1	99801	99801	45000000000
8980333	0xf9f0c0630af3f5eaf4284c912d4af88ea5cdab9d85d660fe93ce08330e949d85	1	99793	1297189	45000000000
8980335	0x4d6c9088dafebea5e0fe2099adee3130b0faad813f3ebbb6dfb140f938337cfe	1	99793	492435	45000000000
8980343	0xb9f57658066cba84cdfbd0de0486cd434e95c4050a00f4dbcc7cd85078387b8a	1	99921	675994	48000000000
8980349	0x2b3b5f8bb53ed4371fd6d603eabf64dfb288da09bbe609c7225d827ceaa232a0	1	99609	603408	45000000000
8980349	0x5e26f95ec59d61c0126cd00b980cf2100427a0ffb6afc537d87b72847284c7c1	1	99673	902555	45000000000
8980349	0x5e31a9df235911eed699d72a44a70e9c7ef66574e868eb4b0d8da8471d7731c0	1	99673	1002228	45000000000
8980349	0x6f33743c58ad40eabb812c938133ded32b2b60eb51e464fe6821b480728b2601	1	99801	703209	45000000000
8980349	0x8733367457248b826f385a3fed545bc7c7ea5cf08ab6856ff3dfc339d80be969	1	99673	1101901	45000000000
8980349	0xa539831d1b2d32c01ab0ba10321835f4efd6b9128a0c36d537bfaea4f53068e0	1	99673	802882	45000000000
8980349	0xbdae2cdce8a9bc8f7a2cadec40897edda6e3b60b501394cdc9dba14f12bc4604	1	99673	1201574	45000000000
8980351	0x0f81f81091fe5d514e28266ab4da4669e8a799530c9d0c191d2efda1c85d9e50	1	99793	2233975	45000000000
8980351	0x68ceeb2fe76c23e7a51055b83bfacd0074ff795b15a590a94ab5ffc52c12130f	1	99793	2134182	45000000000
8980351	0x7e6cd282590429ea1fe4384c25ee3d5afcf149509cfe3c5112d547669a2442a5	1	99729	1934468	45000000000
8980351	0xa8fec7b582aa18851fe0e79e71f440f1cdc7b97caf356c4f2f4bff8cbd339ce9	1	99921	2034389	45000000000
8980351	0xb784d4a221676c772e9cc14935d127435a30a21a797b4468a2a894295dd6d7ba	1	99793	2333768	45000000000
8980351	0xe2a4369037608a1d8412eecf74f0a5f71ac48e2ec5c8196c79b33401a387bf00	1	99793	2533354	45000000000
8980351	0xed4f031b776d349bc4d16ad6ea1f73c225f4a0393af313933463a47fa04f352f	1	99793	2433561	45000000000
8980374	0x4cdc165578b6588c5031ec7cb975802a67b85d8dfd8540131224315652fb7599	1	99865	1094337	45000000000
8980374	0xfc235ccf32c07affffa4e33d102d253f878cbfe4efde120474bf8c70ba898021	1	99801	994472	45000000000
8980377	0x047d059961f0d08221f6767a1f75840e807e7ebb61d95976760a6d801376badb	1	84857	163073	45000000000
8980387	0x4b1f89796b38e3a510962ccb80909dfcc046c843b0edb455e0c5d3d9ec7e4ae9	1	84921	2333980	45000000000
8981060	0x6325080b1e3e6d82e2fc186cd498e3c1cb3e25e01ad341a70b6c01ca0086dbb5	1	99865	1309399	60000000000
8981060	0xb3ac2cb979420e155f7099da7e8ac4cb07b1a569f7f88e8bcf46f61c9baf1994	1	99801	1409200	60000000000
8981061	0x0d4e31516b4e57f0b8fd14b08020134658f193226204a9ee5e15a3843541de14	1	99801	655756	60000000000
8981061	0x233ea05f0ed99f21f4e64e828105787d6d4e4e0d85a10b1f237ecd88c963b245	1	99857	1055080	60000000000
8981061	0x46b886ede9137e46003ea443caffddedf7fdbab6138951d2ee6e66b9e5d89de6	1	99793	1154873	60000000000
