protocol,action_type,take_block_time,take_block_number,tx_hash,symbol,liquidated_urn_addr,maximum_acceptable_price_dai_per_collateral,price_dai_per_collateral,dai_paid,remaining_dai_to_raise,remaining_collateral,auction_start_block_time,auction_block_number,auction_tx_hash,user,starting_price_dai_per_collateral,collateral_to_sell,dai_to_raise,auction_id
maker,2.0_auction_take,2022/01/24 12:40:50,14068389,4d6fca621000a66f92c19851eaf3bd867cb2f6410f4df6dffdc8c0b1d287f264,ETH-A,c06548d912c963f580d5e8a5607b7f8b4559331f,2151.8682958573916138,2151.8682958573916138,17945.575915387648,0.0000000000000000000000000000000000000000000000000000000000000000,1.6604673483339728,2022/01/24 12:06:57,14068223,84ac326b8d8304f45b38e8ec83a0cd2e15317c5a853919c8f3b04bfe42562dae,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,10.0000000000000000,17945.575915387648,397
maker,2.0_auction_take,2022/01/24 12:40:50,14068389,45876904040f3fd384fff72c068f18812c9d8b7f0ccecd26aa1b5cea3164f973,ETH-A,584dbbfc61b1b804541be88c97b5fb749b6c5abb,2151.8682958573916138,2151.8682958573916138,62474.689329107488,0.0000000000000000000000000000000000000000000000000000000000000000,5.9672337059945214,2022/01/24 12:07:38,14068230,44d7584487937209d8394a37cbb65693629d9b54ee709f5bcd5b1a6941731b4a,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2684.3640000000000000,35.0000000000000000,62474.689329107488,403
maker,2.0_auction_take,2022/01/24 12:40:12,14068386,dabb6dfb2c6d8a5d9bdba0f608dff4edb2e3e54e469352f446241c26470bb4aa,ETH-A,d6bb81c3b830ac845f3be23a384077c084be10f7,2151.8682958573916138,2151.8682958573916138,32515.677374480205,0.0000000000000000000000000000000000000000000000000000000000000000,2.6928986616052428,2022/01/24 12:06:47,14068222,4e05ef8c11b7d1e5c26da38bf81e0fe9f21374bcbf11cfa8fdd3c55d7d564986,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,17.8033389413736849,32515.677374480205,396
maker,2.0_auction_take,2022/01/24 12:39:27,14068383,bd3c384407e4aeebcd9ec9b61073841cc0ca14a39934a6037468bba0b361a571,ETH-A,aa1b351fb61e81aac821043179ab7202a0ff3580,2151.8682958573916138,2151.8682958573916138,17776.290896491267,0.0000000000000000000000000000000000000000000000000000000000000000,1.8316118141798732,2022/01/24 12:05:57,14068218,bf8a03b5852ef4088e300bc0a749f99d19a87a15d33be7a0596b3b3f12c82a0b,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,10.0924756090100637,17776.290896491267,394
maker,2.0_auction_take,2022/01/24 12:38:51,14068377,783755f16c9d1e32fdec08f0f1c6da797bb816e30aeb59f5e381162b83d7ac1b,ETH-A,4dd1058098201bc6efe0c1619cb829c7c2d5bbec,2173.6043392498905190,2173.6043392498905190,56870.061798479830,0.0000000000000000000000000000000000000000000000000000000000000000,9.1690107513743324,2022/01/24 12:06:15,14068220,bd614f4d1eeb6549117a4a94a53097ca362378a024024d921e5afe9dca66448f,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,55.0000000000000000,100050.238873679830,395
maker,2.0_auction_take,2022/01/24 12:36:42,14068370,3319ea8e2a560df08615c368af177102203def88a8aaaadedb74b183c11bf93d,ETH-A,4dd1058098201bc6efe0c1619cb829c7c2d5bbec,2217.7400000000000000,2195.5599386362530495,43180.177075200000,56870.061798479830,35.3329545619142271,2022/01/24 12:06:15,14068220,bd614f4d1eeb6549117a4a94a53097ca362378a024024d921e5afe9dca66448f,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,55.0000000000000000,100050.238873679830,395
maker,2.0_auction_take,2022/01/24 12:32:37,14068346,c34e6d262a96ad4804c07ba4c093edb4a549d720a2fd30b2c7a5b2e47310e93f,ETH-A,8994a4d2ad688b05ce5bdc7175566ff06e4505ef,2218.9642091021000900,2195.5599386362530495,74479.814477115385,0.0000000000000000000000000000000000000000000000000000000000000000,6.8370752979863215,2022/01/24 12:01:13,14068203,f3f424ffeda524085916cebe8eb3153ddeaee4843726b583435b32d42cf12127,16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,2684.3640000000000000,40.7600000000000000,74479.814477115385,393
maker,2.0_auction_take,2022/01/24 12:31:12,14068339,33c9ae2226403bdb406f9e44596c6d86bb8fc0724988193cb35c73e8530298f8,ETH-A,743f1c0fec33f1835f9a08b2edaa9371f8e79332,2195.5599386362530495,2195.5599386362530495,44252.945534454694,0.0000000000000000000000000000000000000000000000000000000000000000,4.1651158280018568,2022/01/24 12:00:27,14068198,5ddbac6e513b9055d408374d32b53adec2538f4d9f5a445012abcbf9e2665197,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2684.3640000000000000,24.3207694067157705,44252.945534454694,391
maker,2.0_auction_take,2022/01/24 12:31:12,14068339,bb8df7cb62da8c577b27d3ee0b901fde56fd875e1acf961b0c48c6317bd465dd,ETH-A,9b55c8799597fc1e5f3b0348d68666561313bcc6,2195.5599386362530495,2195.5599386362530495,16983.170569007908,0.0000000000000000000000000000000000000000000000000000000000000000,1.8647656890857599,2022/01/24 12:00:39,14068199,6ea3ae0761db982118963e5cac2ff2d6939a51be09d7692cc878dc458a09d13e,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2684.3640000000000000,9.6000000000000000,16983.170569007908,392
maker,2.0_auction_take,2022/01/24 12:30:15,14068335,daac2ff0dee328d3a1a6412feb6447f5d29fd67d920ca4010211f8b3bd58f2dc,ETH-A,fb8ea3da463516f6f69c7ae8d783d5c2c2814029,2195.5599386362530495,2195.5599386362530495,17887.317709034507,0.0000000000000000000000000000000000000000000000000000000000000000,2.0910734364201183,2022/01/24 12:00:10,14068197,a7eb657c403b817187d184e865f0a7d2f027389c4695d0e705b0e18910a0327a,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2684.3640000000000000,10.2381148331332545,17887.317709034507,389
maker,2.0_auction_take,2022/01/24 12:30:15,14068335,317d84156647527a0c64bd96afda6eda5868df7315537bb9ed4b15d894242b2a,ETH-A,bf084988606482aa601912ec129ca162bca7b3e0,2195.5599386362530495,2195.5599386362530495,66116.399302877452,0.0000000000000000000000000000000000000000000000000000000000000000,7.1363154954699629,2022/01/24 12:00:10,14068197,f48acd80f8a354e8573516458416de6902a55ec87e5bb00ce7e039b933bb922d,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2684.3640000000000000,37.2500000000000000,66116.399302877452,390
maker,2.0_auction_take,2022/01/24 11:34:43,14068088,5986fbee9a6ce1ba8ae34160f5caff17fc21c1ece942e95cf329d2f41d756ec1,ETH-A,31e69db4cc8af1a7ba88269a8fbfb4e00010704d,2233.9363389685083070,2233.9363389685083070,14745.972808582240,0.0000000000000000000000000000000000000000000000000000000000000000,1.3991078656292392,2022/01/24 11:00:08,14067948,948c6506df0a135f1e68f433ce41ecbe4b737dd7221536abfae50ab6fcd08e5f,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2814.8892793512000000,8.0000000000000000,14745.972808582240,386
maker,2.0_auction_take,2022/01/24 11:34:43,14068088,ec6ac483c140a903bb362430f7955860d2e03a79f5670c00df6d0c8502927f25,ETH-A,6b59243154e73a5d465c0822ca3caea7dec24eec,2233.9363389685083070,2233.9363389685083070,18545.086208357483,0.0000000000000000000000000000000000000000000000000000000000000000,1.7921716368156867,2022/01/24 11:00:04,14067946,961d0da0a9df4e32b72472f974ce3bcd19cdad675226ab3bcaa509cc268c74f6,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2814.8892793512000000,10.0937001472120217,18545.086208357483,384
maker,2.0_auction_take,2022/01/24 11:34:43,14068088,312ce8db79bec4ee2aada3932950233c0f2bac71f7035b1ae4662ad486096b67,ETH-A,3e04b623f8e33153464ebc91763987e259099b4b,2233.9363389685083070,2233.9363389685083070,20229.678053683683,0.0000000000000000000000000000000000000000000000000000000000000000,1.9443802400275741,2022/01/24 11:00:04,14067946,1554d91a21d49c2803202a7ef81a903dc1251ffccc880ac601bd6e61da22b407,8007281d6976969d19c30ff6e8da5bf61b7be5a3,2814.8892793512000000,11.0000000000000000,20229.678053683683,385
maker,2.0_auction_take,2022/01/24 11:33:26,14068084,736e1b3a7d07a28c0640b9af7cad7a0311957bd79e62a7156a2ec6c156900e27,ETH-A,2156ea2f209bce18278778b208677c66975bc375,2256.5013524934427343,2256.5013524934427343,170034.327404849773,0.0000000000000000000000000000000000000000000000000000000000000000,17.6469197915785946,2022/01/24 11:00:08,14067948,948c6506df0a135f1e68f433ce41ecbe4b737dd7221536abfae50ab6fcd08e5f,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2814.8892793512000000,93.0000000000000000,170034.327404849773,388
maker,2.0_auction_take,2022/01/24 11:33:26,14068084,ad28b8866c0e87a163ba6b8142e8315c822815d835fdcf674584f87ef453a7fb,ETH-A,9bd7d34406fc9bbe741af86900779a83f957d2b3,2256.5013524934427343,2256.5013524934427343,71791.712591872602,0.0000000000000000000000000000000000000000000000000000000000000000,7.1864530366161517,2022/01/24 11:00:08,14067948,948c6506df0a135f1e68f433ce41ecbe4b737dd7221536abfae50ab6fcd08e5f,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2814.8892793512000000,39.0019502941482517,71791.712591872602,387
maker,2.0_auction_take,2022/01/22 20:26:08,14057542,513fe63051fec4c0b17823990078ed5e960af00357e645ea6ef3cffb43c566d8,ETH-A,14fd227c55b40f9de2f229583c28277c915698ba,2397.3405573022086631,2397.3405573022086631,22182.813856546044,0.0000000000000000000000000000000000000000000000000000000000000000,2.7469075309396356,2022/01/22 20:00:16,14057428,a43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2844.0120000000000000,12.0000000000000000,22182.813856546044,383
maker,2.0_auction_take,2022/01/22 20:26:08,14057542,2dbcb12340abad4c8d823e58f6f5c02aa8f76876e7be21d8314541190536b6aa,ETH-A,f2dfd777d50bbf108cb7e977bc063e4a6baf7ba3,2397.3405573022086631,2397.3405573022086631,28565.584216106834,0.0000000000000000000000000000000000000000000000000000000000000000,3.2301548398317186,2022/01/22 20:00:16,14057428,a43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2844.0120000000000000,15.1456852091391351,28565.584216106834,382
maker,2.0_auction_take,2022/01/22 20:25:49,14057541,818aa7644649c7fd072f544a52281dbb20f85cfa01a641240dc9af9469abe750,ETH-A,7ae3fd480b2eb60f8bc8bf2cc8de783ba034d9f8,2397.3405573022086631,2397.3405573022086631,16960.102419077595,0.0000000000000000000000000000000000000000000000000000000000000000,1.9254513433989326,2022/01/22 20:00:16,14057428,a43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2844.0120000000000000,9.0000000000000000,16960.102419077595,375
maker,2.0_auction_take,2022/01/22 20:25:49,14057541,ae5535ff2ce00081a0b5510a59076f0a2b2dc7211a8b55e7bab59c9fb19ac01f,ETH-A,783370125b25d01ab696755fe15628656b5aead0,2397.3405573022086631,2397.3405573022086631,17870.455816997702,0.0000000000000000000000000000000000000000000000000000000000000000,2.0260785273816508,2022/01/22 20:00:16,14057428,a43e0863fa6cafb94b4a286e6b844fba2a3d4a98c64d0d86ea9296a749971959,e0400cd8f2f669889c48e21f2ff5381d2962bb61,2844.0120000000000000,9.4803618842309604,17870.455816997702,377
